MMM,"[<section class=""quote-sub-section Mt(30px)"" data-reactid=""214""><h2 class=""Fz(m) Lh(1) Fw(b) Mt(0) Mb(18px)"" data-reactid=""215""><span data-reactid=""216"">Description</span></h2><p class=""Mt(15px) Lh(1.6)"" data-reactid=""217"">3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.</p></section>]"
AOS,"[<section class=""quote-sub-section Mt(30px)"" data-reactid=""216""><h2 class=""Fz(m) Lh(1) Fw(b) Mt(0) Mb(18px)"" data-reactid=""217""><span data-reactid=""218"">Description</span></h2><p class=""Mt(15px) Lh(1.6)"" data-reactid=""219"">A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; residential and commercial boilers for space heating applications in hospitals, schools, hotels, and other commercial buildings; and water treatment products, including on-the-go filtration bottles, point-of-use carbon and reverse osmosis products, point-of-entry water softeners, and whole-home water filtration products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, combi-boilers, solar tank units, and air purification products. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. The company was founded in 1874 and is headquartered in Milwaukee, Wisconsin.</p></section>]"
